UIS.NIRA.1,UIS.XSPENDP.FDPUB.FNS,BAR.PRM.SCHL,BAR.SEC.SCHL,BAR.TER.SCHL,BAR.TOT.SCHL,BAR.NOED.15UP.ZS,BAR.PRM.CMPT.15UP.ZS,BAR.PRM.ICMP.15UP.ZS,BAR.SEC.CMPT.15UP.ZS,BAR.SEC.ICMP.15UP.ZS,BAR.TER.CMPT.15UP.ZS,BAR.TER.ICMP.15UP.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GD.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.ZS,SL.TLF.INTM.ZS,SL.TLF.TOTL.IN,SP.POP.GROW,SI.POV.GINI
88.04305267,68.88765423,5.425333333,3.414,0.686666667,9.528666667,1.59,8.79,19.11,20.3,53.86,14.93,25.44,13.22047428,29.79348946,6.478630066,76.43441598,41.45066667,73.33933258,16838398.58,1.293244953,32.55
88.04305267,68.88765423,5.425333333,3.414,0.686666667,9.528666667,1.59,8.79,19.11,20.3,53.86,14.93,25.44,15.57890034,29.90282059,6.434430122,76.43441598,41.45066667,73.33933258,16838398.58,1.240595387,32.4
89.55297089,68.88765423,5.425333333,3.414,0.686666667,9.528666667,1.59,8.79,19.11,20.3,53.86,14.93,25.44,15.53180981,29.37821007,6.521289825,76.43441598,41.45066667,73.33933258,16838398.58,1.205555298,32.25
89.01017761,68.88765423,5.425333333,3.414,0.686666667,9.528666667,1.59,8.79,19.11,20.3,53.86,14.93,25.44,14.77497005,30.06431007,6.876399994,76.43441598,41.45066667,73.33933258,16838398.58,1.002811515,32.1
88.90898132,68.88765423,5.425333333,3.414,0.686666667,9.528666667,1.59,8.79,19.11,20.3,53.86,14.93,25.44,14.09080029,30.93099976,6.639150143,76.43441598,41.45066667,73.33933258,16838398.58,0.961733829,31.95
88.04305267,68.88765423,5.528666667,3.51,0.487333333,9.528666667,1,6.79,16.69,24.72,63.89,8.14,18.42,13.2368803,30.52069092,6.216149807,76.43441598,41.45066667,73.33933258,16838398.58,0.929446703,31.8
89.62882996,68.88765423,5.528666667,3.51,0.487333333,9.528666667,1,6.79,16.69,24.72,63.89,8.14,18.42,12.68319988,31.02302933,6.045100212,76.43441598,41.45066667,73.33933258,16838398.58,1.004879395,31.65
89.78640747,68.88765423,5.528666667,3.51,0.487333333,9.528666667,1,6.79,16.69,24.72,63.89,8.14,18.42,13.45582962,30.89166069,6.329889774,76.43441598,41.45066667,73.33933258,16838398.58,1.311767682,31.5
89.53733826,68.88765423,5.528666667,3.51,0.487333333,9.528666667,1,6.79,16.69,24.72,63.89,8.14,18.42,13.53853989,30.84110069,6.175350189,76.43441598,41.45066667,73.33933258,16838398.58,1.291064804,31.375
89.51638031,68.88765423,5.528666667,3.51,0.487333333,9.528666667,1,6.79,16.69,24.72,63.89,8.14,18.42,13.56976986,31.6980896,6.102240086,76.43441598,41.45066667,73.33933258,16838398.58,1.783590046,31.25
89.35025787,68.88765423,5.618666667,3.785333333,0.563333333,9.968666667,0.83,5.37,13.49,27.25,64.9,9.93,20.77,13.19062042,31.81250954,5.992229939,81.45700073,49.67699814,73.68199921,14716537,1.493593109,31.125
97.85366058,68.88765423,5.618666667,3.785333333,0.563333333,9.968666667,0.83,5.37,13.49,27.25,64.9,9.93,20.77,14.26379967,28.13154984,6.884270191,81.19599915,48.18399811,73.22799683,14808532,1.360506174,31
98.04128265,68.88765423,5.618666667,3.785333333,0.563333333,9.968666667,0.83,5.37,13.49,27.25,64.9,9.93,20.77,13.11614037,30.75021935,6.773389816,80.34999847,46.54000092,71.83999634,14790440,1.2274176,31.1
92.2246933,68.88765423,5.618666667,3.785333333,0.563333333,9.968666667,0.83,5.37,13.49,27.25,64.9,9.93,20.77,14.62347984,27.78079987,7.704470158,80.19000244,44.86999893,71,14876763,1.094331921,31.2
90.27510071,68.88765423,5.618666667,3.785333333,0.563333333,9.968666667,0.83,5.37,13.49,27.25,64.9,9.93,20.77,12.93443012,34.57579041,6.676509857,79.42099762,44.48600006,70.79299927,14987271,0.961244717,31.3
90.18241119,68.88765423,5.67,4.04,0.670666667,10.38,0.88,4.97,11.36,29.42,63.57,11.54,24.18,12.86363029,35.26795959,6.320509911,79.24099731,42.99700165,70.46199799,15052449,0.828159179,31.4
91.11649323,68.88765423,5.67,4.04,0.670666667,10.38,0.88,4.97,11.36,29.42,63.57,11.54,24.18,13.22047428,31.59305006,6.200091389,80.54000092,42.88000107,71.69000244,15194462,1.077164681,31.5
91.10782146,68.88765423,5.67,4.04,0.670666667,10.38,0.88,4.97,11.36,29.42,63.57,11.54,24.18,13.22047428,31.59305006,6.200091389,78.48000336,41.78300095,70.21900177,15445178,1.057015395,31.6
98.80769348,72.03755951,5.67,4.04,0.670666667,10.38,0.88,4.97,11.36,29.42,63.57,11.54,24.18,12.63957977,31.00068092,5.511360168,59.65999985,31.82999992,98.52999878,15698925,0.865613663,33.2
99.37574005,72.23261261,5.67,4.04,0.670666667,10.38,0.88,4.97,11.36,29.42,63.57,11.54,24.18,12.74188042,31.59305006,5.551690102,78.55000305,41.94499969,70.43099976,15986114,0.827369318,33.25
98.64894104,70.45150757,5.72,4.227333333,0.754666667,10.704,0.86,3.58,9.28,30.19,64.03,13.89,25.83,12.98260021,31.59305006,5.466259956,78.55799866,41.92200089,70.04799652,16235329,0.882998577,33.3
91.10782146,72.43132782,5.72,4.227333333,0.754666667,10.704,0.86,3.58,9.28,30.19,64.03,13.89,25.83,12.21224022,31.59305006,4.98032999,78.44999695,41.4679985,69.70500183,16492182,1.009521666,33.4
91.10782146,70.52983093,5.72,4.227333333,0.754666667,10.704,0.86,3.58,9.28,30.19,64.03,13.89,25.83,12.14789963,31.59305006,5.012949944,61.68999863,33.61000061,97.79000092,16944642,0.897131277,33.5
91.10782146,74.18670456,5.72,4.227333333,0.754666667,10.704,0.86,3.58,9.28,30.19,64.03,13.89,25.83,13.22047428,31.59305006,6.200091389,78.98899841,43.0929985,70.52300262,17361800,0.996232739,33.6
91.10782146,68.88765423,5.72,4.227333333,0.754666667,10.704,0.86,3.58,9.28,30.19,64.03,13.89,25.83,13.22047428,31.59305006,6.200091389,62.02000046,33.24000168,97.87000275,17583867,1.002034424,33.7
